filename,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39
A_Close (10).wav,0.05882126837968826,1805.5957172842425,1394.8775256303725,3204.5712890625,0.1469140625,-467.0279541015625,100.77511596679688,37.14974594116211,15.295260429382324,-10.017985343933105,-5.743658065795898,-20.986268997192383,-17.89994239807129,-21.099098205566406,-17.45152473449707,-12.023411750793457,-13.963273048400879,-7.882925510406494,-13.374565124511719,-9.213268280029297,-4.493366241455078,-4.033276557922363,-9.648770332336426,-8.432921409606934,-5.211763381958008,-5.5047430992126465,-2.766338586807251,-7.069920063018799,-3.1744544506073,-1.2344660758972168,-4.050220489501953,-4.496412754058838,-0.7011280059814453,-1.278138518333435,-5.584934234619141,-0.2878570258617401,-0.050414130091667175,-2.7799384593963623,-2.663698673248291,-1.4426754713058472,-1.5009827613830566,-2.1105871200561523,-0.7218917608261108,-0.06358729302883148
A_Close (11).wav,0.006825759541243315,2079.375780513574,1743.7567294691007,3889.9098115808824,0.15238204656862744,-552.9339599609375,77.8180923461914,-5.161699295043945,18.8533992767334,-9.427824020385742,3.0326945781707764,-28.040294647216797,-13.085633277893066,-15.0913667678833,-16.546669006347656,-11.22356128692627,-15.5370512008667,-3.0114190578460693,-14.751594543457031,-8.211669921875,-5.368146896362305,-6.96028470993042,-13.46385383605957,-9.394384384155273,-3.2764246463775635,-7.76510763168335,-0.5973565578460693,-4.175864219665527,-2.258164167404175,2.4453372955322266,-0.08595693111419678,-2.648031234741211,-0.5514978766441345,-2.2580506801605225,-2.6097960472106934,0.3175126314163208,-1.5300687551498413,-1.1706156730651855,-2.31160306930542,0.06771910935640335,0.5560520887374878,0.38329362869262695,-0.6171008944511414,0.555598258972168
A_Close (2).wav,0.055535998195409775,1596.436436610475,1381.9887835384739,2900.091796875,0.11619140625,-461.4859619140625,105.4725570678711,35.2103157043457,12.432101249694824,-10.50280475616455,-3.7771482467651367,-16.869060516357422,-19.527196884155273,-23.13546371459961,-16.196020126342773,-10.853711128234863,-13.663814544677734,-6.285391807556152,-12.182592391967773,-9.733421325683594,-5.8700175285339355,-5.283253192901611,-9.140929222106934,-10.2700777053833,-5.129530429840088,-4.220193386077881,-2.7504684925079346,-6.564470291137695,-4.728090286254883,-1.1655361652374268,-3.6187338829040527,-4.44865083694458,-0.5937396883964539,-0.9200232028961182,-4.771422863006592,-1.7964072227478027,-0.5007151961326599,-2.0837862491607666,-2.9616539478302,-1.6409540176391602,-0.2127954512834549,-0.10633118450641632,-0.24489974975585938,-1.131615400314331
A_Close (3).wav,0.08030024915933609,1499.3981647260298,1351.4772998411656,2751.7166940789475,0.10093287417763158,-396.5457763671875,112.2076187133789,19.830810546875,16.037813186645508,7.964674949645996,-10.264155387878418,-43.047019958496094,-22.515539169311523,-10.787199974060059,-15.180270195007324,-16.113277435302734,-15.964454650878906,-9.616235733032227,-11.723411560058594,-4.548776626586914,-4.221739292144775,-9.934893608093262,-14.104172706604004,-6.29445743560791,-4.684797763824463,-11.231053352355957,-5.831137180328369,-4.030170917510986,-2.460021495819092,-4.214199066162109,-4.130951881408691,-0.2352503538131714,-0.5110841393470764,-3.7250778675079346,-3.74196457862854,-0.275415301322937,-0.4717561900615692,-2.478757619857788,-2.018916368484497,0.004480123519897461,-1.839180827140808,-2.241142988204956,-1.3683178424835205,0.24891218543052673
A_Close (4).wav,0.008099986240267754,1961.2932109900612,1697.625647428106,3579.0576171875,0.13196614583333333,-544.6660766601562,90.3318862915039,5.548388957977295,18.905729293823242,-16.3501033782959,5.951127052307129,-21.28390884399414,-15.389092445373535,-22.598831176757812,-16.00026512145996,-9.144679069519043,-15.75989055633545,-3.794111490249634,-18.21156120300293,-8.010515213012695,-3.992255926132202,-3.126476764678955,-10.37609577178955,-11.570752143859863,-3.1400234699249268,-5.101256847381592,-2.938131332397461,-8.79529857635498,-2.3531408309936523,-0.5515611171722412,-1.8110015392303467,-2.030858039855957,0.05110669508576393,0.6275455355644226,-3.6187329292297363,0.3660053610801697,0.5153486728668213,0.2553045153617859,-2.9896771907806396,-0.45378053188323975,0.8988429307937622,-0.1880953013896942,0.4642409384250641,-1.2479634284973145
A_Close (5).wav,0.044196438044309616,1792.7560122209695,1474.1362582592549,3146.5965757978724,0.14014710771276595,-481.6111755371094,94.00594329833984,32.28155517578125,20.08372688293457,-6.233549118041992,-2.29984974861145,-21.583974838256836,-18.452634811401367,-22.386259078979492,-12.989124298095703,-6.914909362792969,-14.10658073425293,-6.669432163238525,-14.901708602905273,-7.597909927368164,-3.4286868572235107,-5.4293694496154785,-8.416298866271973,-8.182286262512207,-2.323714017868042,-4.3930888175964355,-3.1771740913391113,-6.009397029876709,-3.578186273574829,0.14783543348312378,-3.190897226333618,-4.325226306915283,-1.4055677652359009,-1.7958405017852783,-3.7719199657440186,-1.1324939727783203,-0.6079492568969727,-2.074800968170166,-2.915762186050415,-0.9017269015312195,-0.2230112999677658,-1.0517582893371582,-0.7295123934745789,-0.2732788920402527
A_Close (6).wav,0.04779926687479019,1801.3185740013673,1467.3200090354972,3249.755859375,0.13995735012755103,-473.99554443359375,95.11135864257812,32.48203659057617,20.123611450195312,-11.810633659362793,-1.556527853012085,-21.370187759399414,-18.297964096069336,-20.956710815429688,-15.637198448181152,-11.432035446166992,-15.061701774597168,-5.332574367523193,-13.653364181518555,-8.561532020568848,-6.278139591217041,-4.059548854827881,-8.647747993469238,-10.252029418945312,-3.3685128688812256,-3.829393148422241,-1.9184515476226807,-8.452898025512695,-4.852363586425781,-1.0106276273727417,-2.947901487350464,-3.3724772930145264,-1.5494872331619263,-0.5107355117797852,-4.646124839782715,-1.8638575077056885,-1.3297245502471924,-2.2969884872436523,-2.773054838180542,-1.893912672996521,-0.7574605941772461,-1.3136367797851562,0.3939783573150635,-0.714745819568634
A_Close (7).wav,0.007878957316279411,2160.86808007197,1818.6068497524689,4099.628240411932,0.16423265861742425,-575.9459228515625,68.06364440917969,1.4234291315078735,14.288534164428711,-11.67723560333252,5.608892917633057,-16.329784393310547,-11.204670906066895,-15.188149452209473,-16.917858123779297,-8.744752883911133,-12.825417518615723,-6.403360843658447,-10.851017951965332,-9.009574890136719,-6.285144805908203,-0.9019355773925781,-10.075087547302246,-7.428504943847656,-3.399472713470459,-7.323769569396973,-0.20294858515262604,-6.209136009216309,-2.7789199352264404,-1.2553539276123047,-3.9207098484039307,-0.699957549571991,2.218750238418579,0.5790584683418274,-1.5099836587905884,0.9952223896980286,0.6263744235038757,0.7389068603515625,-2.082378387451172,-0.1392562985420227,-0.0884459987282753,-1.3709313869476318,-1.7114887237548828,-2.2657155990600586
A_Close (8).wav,0.06345783174037933,1615.790276233757,1360.688048539997,2896.8887329101562,0.12305704752604167,-448.9493713378906,105.82733917236328,30.85088539123535,12.768521308898926,-7.0713419914245605,0.25540003180503845,-15.117328643798828,-20.429250717163086,-27.56064796447754,-18.990201950073242,-8.24110221862793,-13.221163749694824,-9.075719833374023,-12.651557922363281,-11.575706481933594,-4.787861347198486,-1.7678089141845703,-9.978610038757324,-9.61998462677002,-5.1523003578186035,-5.433847427368164,-1.637076497077942,-6.416910648345947,-6.594384670257568,-1.4744266271591187,-3.0429775714874268,-4.614531993865967,-1.4245834350585938,-2.88193416595459,-4.015338897705078,-1.2700170278549194,-0.2744119465351105,-1.1417773962020874,-2.4927456378936768,-1.0297387838363647,-2.510650873184204,-1.2371317148208618,-0.5434975624084473,-1.4790691137313843
A_Close (9).wav,0.0990435928106308,1630.0404305461677,1190.0546916627306,2629.0822155070755,0.11957362912735849,-390.2063293457031,108.67462158203125,32.54752731323242,9.130378723144531,-2.939798355102539,-10.602560043334961,-31.867633819580078,-17.56728744506836,-13.489123344421387,-16.94285774230957,-17.694921493530273,-14.99179744720459,-9.776700973510742,-10.670098304748535,-5.8180365562438965,-7.224923133850098,-7.657942295074463,-12.801114082336426,-6.981656551361084,-4.174187183380127,-8.944066047668457,-5.398107528686523,-5.114047527313232,-2.4805874824523926,-3.396463394165039,-3.2623817920684814,-3.350611925125122,-2.1883623600006104,-2.093834638595581,-3.9285566806793213,-0.8974986672401428,-1.291141152381897,-2.59724760055542,-2.356351613998413,-0.932673454284668,-0.5370656847953796,-0.8971477150917053,-1.2164331674575806,-0.3337514400482178
A_Close.wav,0.05424848198890686,1716.8450982441946,1442.761769288953,3147.8587431066176,0.13379863664215685,-464.7330627441406,98.78233337402344,29.59915542602539,19.28685760498047,-6.182845115661621,-3.3817996978759766,-20.82424545288086,-19.564573287963867,-21.838388442993164,-16.420103073120117,-11.037339210510254,-12.77486515045166,-5.960467338562012,-14.388689994812012,-9.6881685256958,-3.94216251373291,-4.141623020172119,-9.941920280456543,-8.98902702331543,-3.70092511177063,-5.329629898071289,-2.8363921642303467,-5.044517993927002,-1.862583875656128,-0.34957385063171387,-4.0909833908081055,-3.731318473815918,-0.444841206073761,-2.3467955589294434,-5.790964603424072,-0.9801761507987976,-0.6244164109230042,-3.326385259628296,-3.4081997871398926,-2.5420687198638916,-1.9377933740615845,-1.7962687015533447,-1.2339460849761963,0.057679980993270874
A_D_Open (14).wav,0.015440433286130428,1641.8490374970652,1354.2792900060228,2891.9936236213234,0.16325827205882354,-571.0742797851562,97.88648223876953,36.51628494262695,25.69207191467285,-9.856420516967773,-12.540793418884277,-18.8570499420166,-14.460284233093262,-21.04693031311035,-19.06426239013672,-6.99090576171875,-13.822380065917969,-11.76174545288086,-13.154875755310059,-6.436598300933838,-1.4257396459579468,-8.657325744628906,-7.90185546875,-5.566126823425293,-9.060038566589355,-7.247262954711914,-1.7585266828536987,-3.6335034370422363,-4.905750751495361,-3.556312084197998,-1.7099006175994873,-2.451026439666748,-1.102135181427002,-0.2763735055923462,-3.131026268005371,-1.5346508026123047,-1.0523849725723267,-1.006015658378601,-2.341630697250366,-2.2596185207366943,-0.19367806613445282,-2.0220229625701904,-0.6898931860923767,-1.0326730012893677
A_D_Open (15).wav,0.009399608708918095,1699.2126754545823,1424.4424134516744,2721.5576171875,0.14018012152777778,-566.29150390625,109.6489486694336,15.819133758544922,30.376502990722656,-18.758716583251953,-4.618395805358887,-28.644376754760742,-16.641136169433594,-22.102561950683594,-20.828323364257812,-8.001498222351074,-16.946130752563477,-10.046332359313965,-18.40904426574707,-7.688187122344971,-3.064598321914673,-6.6025390625,-9.07548713684082,-4.370707035064697,-7.768339157104492,-10.229694366455078,-2.375852108001709,-7.912591457366943,-4.0791521072387695,-5.201383590698242,-2.0741636753082275,-2.1852431297302246,-2.2411389350891113,-0.04804462939500809,-3.0794997215270996,1.0924639701843262,-2.4099974632263184,-0.9222180843353271,-0.898625373840332,-0.7434941530227661,1.3784247636795044,-0.9403315782546997,-1.0901271104812622,-1.7830767631530762
A_D_Open (16).wav,0.011428358033299446,1714.365111927765,1525.0490811603963,3036.719970703125,0.12088216145833333,-564.0869750976562,98.6058578491211,19.215024948120117,24.72141456604004,-12.497447967529297,-9.276437759399414,-29.22468376159668,-14.728238105773926,-15.88416862487793,-18.0870361328125,-9.13489055633545,-16.97052764892578,-10.188949584960938,-14.465559005737305,-5.939571857452393,-3.102261781692505,-7.95707893371582,-7.500280857086182,-5.301704406738281,-8.552010536193848,-10.581073760986328,-3.2367186546325684,-4.83212947845459,-2.9970273971557617,-2.909836769104004,-1.4125908613204956,-1.509511113166809,-1.1331169605255127,-0.5447320938110352,-4.243270397186279,-0.3222302794456482,-1.3033595085144043,-0.982813835144043,-0.3245697021484375,-0.027600355446338654,0.37703168392181396,-2.212604284286499,-0.9242212176322937,-1.0339016914367676
A_D_Open (17).wav,0.0016076508909463882,1645.5233037609155,1377.9685513034372,3176.7807904411766,0.14259535845588237,-735.7098999023438,63.47071075439453,-9.924840927124023,16.561819076538086,-24.283119201660156,1.729203224182129,-21.259944915771484,-8.127902030944824,-12.064597129821777,-8.094420433044434,-3.254077434539795,-9.867752075195312,-0.4677710235118866,-13.512337684631348,-1.27564537525177,-3.0690243244171143,-3.729154348373413,-5.393899917602539,-5.764682769775391,-5.338734149932861,-7.5156707763671875,-1.0887246131896973,-3.8290369510650635,0.3701941967010498,-2.6077709197998047,-1.0329787731170654,-0.9520084261894226,-0.6946856379508972,-0.18628259003162384,-2.2195870876312256,-0.46056145429611206,-2.5077965259552,1.016530990600586,-1.6090104579925537,0.08079579472541809,1.10836660861969,-0.4490533769130707,-0.053596507757902145,-0.7652056813240051
A_D_Open (18).wav,0.020329676568508148,2105.2536504566465,1817.9420820050007,4030.6756270559213,0.19204872532894737,-493.1480407714844,41.42942810058594,8.21757984161377,10.7899808883667,-1.3633850812911987,-9.018353462219238,-17.549808502197266,-8.598287582397461,-7.407212257385254,-8.60619068145752,-5.91653299331665,-5.842648506164551,-3.5557613372802734,-7.401346683502197,-2.090416193008423,-1.5977985858917236,-6.117170333862305,-2.268862009048462,-2.303159475326538,-6.143013954162598,-3.205690860748291,-0.564681351184845,-2.2639284133911133,-0.5058932900428772,-0.7569968700408936,0.38790300488471985,0.5978524684906006,-1.068617343902588,0.038970429450273514,-0.21907076239585876,-0.5217086672782898,-0.8538823127746582,0.4082314968109131,-0.5536800622940063,-1.288272738456726,0.7697940468788147,-0.6138596534729004,-0.8096534609794617,-0.8708770275115967
A_D_Open (19).wav,0.04986005648970604,1802.297570906399,1608.9618550395667,3463.2568359375,0.17389322916666666,-482.7461853027344,75.0208740234375,27.407747268676758,14.545333862304688,-8.877097129821777,-11.124429702758789,-15.579569816589355,-8.337305068969727,-14.671652793884277,-14.13041877746582,-8.820053100585938,-11.402314186096191,-5.209898471832275,-8.89447021484375,-2.860774517059326,0.09619660675525665,-5.252273082733154,-4.762998580932617,-3.8022003173828125,-5.013759136199951,-6.001746654510498,-2.063105344772339,-2.424861192703247,-2.5668296813964844,-2.0577962398529053,-3.4012467861175537,-3.5081822872161865,-1.417338490486145,-1.7736581563949585,-3.909850597381592,-1.4276645183563232,-2.0924160480499268,-2.3492848873138428,-1.9796767234802246,-2.455986499786377,-1.6844271421432495,-2.8014466762542725,-1.9952411651611328,-1.5997892618179321
A_D_Open (20).wav,0.004709738306701183,2203.029335915967,1834.6813244729676,4035.0830078125,0.2066333912037037,-618.2864379882812,86.3047866821289,-1.6892800331115723,26.078866958618164,-23.15038299560547,6.55750846862793,-28.635854721069336,-8.617709159851074,-17.791976928710938,-17.542539596557617,-5.5929083824157715,-16.227785110473633,-4.582500457763672,-17.30612564086914,-2.8319692611694336,-5.749764919281006,-8.232722282409668,-9.082472801208496,-7.666475772857666,-7.784689426422119,-10.598170280456543,0.5119959712028503,-3.475080728530884,-0.7521747350692749,-3.4582393169403076,-2.2085373401641846,-1.481996774673462,-1.5690194368362427,-2.3692219257354736,-2.428196907043457,0.5221477746963501,-3.7635207176208496,0.8293652534484863,-2.8390214443206787,-1.1615991592407227,0.6647747755050659,-2.4067776203155518,-0.7520896792411804,-1.4563320875167847
A_D_Open (21).wav,0.05401158705353737,1635.560749727922,1380.5865413651966,2951.921280570652,0.14704695991847827,-472.6818542480469,117.78800964355469,36.050575256347656,13.343379974365234,-14.217331886291504,-5.084742546081543,-20.704504013061523,-16.282102584838867,-19.800159454345703,-17.022586822509766,-8.606778144836426,-15.42362117767334,-9.40168571472168,-11.816324234008789,-7.743941783905029,-3.5439116954803467,-6.252553462982178,-9.827947616577148,-9.96712875366211,-10.412160873413086,-6.779296398162842,-4.060171127319336,-7.806640625,-4.896368503570557,-5.608386516571045,-4.060713291168213,-5.479527473449707,-2.783370018005371,-1.6921554803848267,-5.655072212219238,-0.2119300812482834,-2.077436923980713,-2.6129417419433594,-2.1496198177337646,-2.8791708946228027,-3.656769037246704,-3.3114867210388184,0.24749277532100677,-2.5946297645568848
A_D_Open (22).wav,0.055280040949583054,1466.082786653176,1311.0897897249095,2594.282863451087,0.11870541779891304,-464.8680725097656,117.50556182861328,38.4794921875,26.006410598754883,-12.385189056396484,-12.828612327575684,-25.560453414916992,-13.301751136779785,-19.888761520385742,-20.83955955505371,-9.41309928894043,-15.927964210510254,-8.896650314331055,-13.649652481079102,-7.0069355964660645,-2.866692304611206,-9.224747657775879,-11.31244945526123,-9.82555866241455,-7.926570892333984,-6.88389253616333,-1.2473938465118408,-5.442105770111084,-5.930127143859863,-3.271681785583496,-3.482994794845581,-5.6124162673950195,-3.5253310203552246,-1.8439186811447144,-6.0362772941589355,-0.670828640460968,-2.208005666732788,-3.5987415313720703,-0.5723737478256226,-2.5869293212890625,-2.5765488147735596,-3.6568119525909424,-1.5588186979293823,-1.196824550628662
A_D_Open (23).wav,0.009686126373708248,1959.775587929334,1746.4511973801525,3765.0994551809213,0.1421241091008772,-594.35302734375,73.1717300415039,10.757549285888672,24.085407257080078,-11.964218139648438,-3.824437141418457,-21.27496910095215,-8.503719329833984,-14.637716293334961,-14.541242599487305,-2.4675092697143555,-6.1381449699401855,-3.438244581222534,-10.306851387023926,-3.2749154567718506,-7.992605686187744,-9.381928443908691,-10.280315399169922,-9.2661771774292,-6.793218612670898,-6.9506425857543945,1.1738370656967163,0.32751908898353577,-0.08570003509521484,-1.9148110151290894,-0.10290656983852386,-2.1889700889587402,-3.754225015640259,-2.537818431854248,-3.641134262084961,-1.5853172540664673,-2.8440167903900146,-1.0286264419555664,0.17092303931713104,0.7632039189338684,-1.0147807598114014,-0.7799108028411865,-0.23426513373851776,-1.6520743370056152
A_D_Open (24).wav,0.005079800728708506,2163.5340114922224,1814.5754832951231,4073.3642578125,0.17054721765350878,-591.715087890625,86.40716552734375,-6.172412395477295,25.875396728515625,-25.61382293701172,6.855628967285156,-28.91231918334961,-11.158568382263184,-18.681732177734375,-15.034664154052734,-3.8543992042541504,-15.027939796447754,-6.17634391784668,-18.357629776000977,-4.602895259857178,-8.58328628540039,-5.576465129852295,-9.53176212310791,-9.56668758392334,-8.105804443359375,-8.603592872619629,0.44084402918815613,-5.333374500274658,0.39361444115638733,-4.314515113830566,-0.014427991583943367,-1.353797435760498,-1.826747179031372,-0.05861712992191315,-2.915273904800415,2.182950258255005,-4.157637596130371,-0.8195729851722717,-0.03714006766676903,0.6027153134346008,-0.7112274169921875,-2.4565858840942383,-0.655359148979187,-0.2556527554988861
